unbroke	kingrichardii@2925
waterdrops	troilusandcressida@2658
watered	periclesprinceoftyre@2596
waterflies	troilusandcressida@4259
watering	1kinghenryiv@1437
waterish	kinglear@451, othello@2311
waters	twelfthnight@3246, kingrichardii@2282, asyoulikeit@1716, periclesprinceoftyre@939, periclesprinceoftyre@2659, periclesprinceoftyre@1059, winterstale@3378, winterstale@360, winterstale@4020, allswellthatendswell@768, kingrichardiii@2184, kingrichardiii@4908, kingrichardiii@1302, merchantofvenice@527, merchantofvenice@884, merchantofvenice@3589, merchantofvenice@114, kinglear@1332, kinghenryv@3553, kinghenryv@1295, kingjohn@3100, kingjohn@2840, antonyandcleopatra@492, cymbeline@2122, troilusandcressida@894, measureforemeasure@3321, tamingoftheshrew@156, tempest@212, tempest@2367, tempest@801, coriolanus@3018
watery	kingrichardiii@1983, twelfthnight@3766, comedyoferrors@448, rapeoflucrece@2068, rapeoflucrece@2071, rapeoflucrece@1915, loveslabourslost@3168, merrywivesofwindsor@2301, titusandronicus@1940, midsummersnightsdream@340, midsummersnightsdream@758, midsummersnightsdream@1421, kingrichardii@1031, romeoandjuliet@904, winterstale@162, periclesprinceoftyre@926, periclesprinceoftyre@867, tempest@2551, sonnets@1096, merchantofvenice@2052, merchantofvenice@1515, tamingoftheshrew@265, loverscomplaint@326, troilusandcressida@2444
wave	winterstale@2729, coriolanus@2582, coriolanus@1121, loveslabourslost@2717, glossary@843, glossary@2306, titusandronicus@1706, titusandronicus@1706, venusandadonis@129, venusandadonis@384, 3kinghenryvi@1522, tempest@1207, cymbeline@5477, cymbeline@3579, cymbeline@4348
waved	cymbeline@498, coriolanus@1904, rapeoflucrece@1478, kinglear@4244
waver	merchantofvenice@2903
waverer	romeoandjuliet@1729
wavering	1kinghenryvi@2835, twelfthnight@1491, kingrichardii@1522, loverscomplaint@113, 2kinghenryiv@151
waves	twelfthnight@3760, twelfthnight@156, twelfthnight@3010, macbeth@2445, hamlet@1053, hamlet@1040, hamlet@1066, venusandadonis@985, comedyoferrors@1250, juliuscaesar@394, tempest@782, tempest@1205, tempest@501, periclesprinceoftyre@833, periclesprinceoftyre@2362, rapeoflucrece@1717, sonnets@1022, 3kinghenryvi@811, 3kinghenryvi@4182, 3kinghenryvi@1900, 3kinghenryvi@4170
waving	hamlet@1563, cymbeline@509, troilusandcressida@5053, glossary@2309, 1kinghenryvi@1003, coriolanus@2422, coriolanus@3318, juliuscaesar@1943, tamingoftheshrew@363
wawl	kinglear@4384
wax	kinglear@4525, hamlet@2615, hamlet@3644, comedyoferrors@160, 2kinghenryiv@689, 2kinghenryiv@3813, romeoandjuliet@753, romeoandjuliet@2954, 3kinghenryvi@1231, 3kinghenryvi@2265, twelfthnight@1782, venusandadonis@630, venusandadonis@688, titusandronicus@1879, titusandronicus@1637, loveslabourslost@2875, loveslabourslost@1663, various@118, allswellthatendswell@470, cymbeline@2270, midsummersnightsdream@134, juliuscaesar@879, kingjohn@3347, timonofathens@3826, timonofathens@1871, timonofathens@201, timonofathens@3948, kinghenryv@4218, kinghenryv@4437, kinghenryv@4516, rapeoflucrece@1494, 2kinghenryvi@4181, 2kinghenryvi@3360
waxed	twogentlemenofverona@2043, coriolanus@2032
waxen	2kinghenryvi@2529, merrywivesofwindsor@3574, twelfthnight@1113, twogentlemenofverona@1414, kingrichardii@552, midsummersnightsdream@629, midsummersnightsdream@1380, rapeoflucrece@1974, rapeoflucrece@274, rapeoflucrece@1489, kinghenryv@570
waxes	romeoandjuliet@1164, hamlet@787, hamlet@1084
waxeth	venusandadonis@517
waxing	titusandronicus@1706
way	titusandronicus@1030, titusandronicus@1942, titusandronicus@434, titusandronicus@3120, titusandronicus@2613, titusandronicus@484, titusandronicus@171, titusandronicus@1709, titusandronicus@205, titusandronicus@951, venusandadonis@1046, venusandadonis@995, venusandadonis@1085, venusandadonis@133, venusandadonis@755, venusandadonis@1055, venusandadonis@851, venusandadonis@323, kinghenryv@4648, kinghenryv@2427, kinghenryv@4050, kinghenryv@4636, kinghenryv@1158, kinghenryv@2430, kinghenryv@1715, kinghenryv@2281, kinghenryv@4647, kinghenryv@1201, kinghenryv@1160, merrywivesofwindsor@528, merrywivesofwindsor@1898, merrywivesofwindsor@1902, merrywivesofwindsor@4246, merrywivesofwindsor@1898, merrywivesofwindsor@1899, merrywivesofwindsor@3443, merrywivesofwindsor@3531, merrywivesofwindsor@741, merrywivesofwindsor@852, merrywivesofwindsor@499, merrywivesofwindsor@929, merrywivesofwindsor@1933, merrywivesofwindsor@2464, merrywivesofwindsor@3199, merrywivesofwindsor@2021, merrywivesofwindsor@3303, merrywivesofwindsor@4247, merrywivesofwindsor@1415, merrywivesofwindsor@1057, merrywivesofwindsor@4052, merrywivesofwindsor@1894, merrywivesofwindsor@2090, merrywivesofwindsor@1944, merrywivesofwindsor@1898, merrywivesofwindsor@2198, cymbeline@5168, cymbeline@3819, cymbeline@4086, cymbeline@686, cymbeline@2041, cymbeline@3576, cymbeline@861, cymbeline@4338, cymbeline@4342, cymbeline@174, cymbeline@2298, cymbeline@2332, cymbeline@1020, cymbeline@3062, cymbeline@249, cymbeline@4692, cymbeline@4691, cymbeline@4687, cymbeline@4674, cymbeline@360, cymbeline@314, kinglear@3670, kinglear@4158, kinglear@3852, kinglear@1775, kinglear@2521, kinglear@3720, kinglear@5202, kinglear@2855, kinglear@3643, kinglear@3597, kinglear@3920, kinglear@2782, kinglear@3739, kinglear@2621, kinglear@3074, kinglear@3599, kinglear@390, kinglear@4777, kinglear@3165, kinglear@3530, kinglear@3113, kinglear@4987, kinglear@3672, kinglear@3849, kinglear@1598, kinglear@2104, kinglear@2128, 1kinghenryvi@1575, 1kinghenryvi@1176, 1kinghenryvi@3796, 1kinghenryvi@1173, 1kinghenryvi@2210, 1kinghenryvi@2951, 1kinghenryvi@2494, coriolanus@2688, coriolanus@3156, coriolanus@3400, coriolanus@5106, coriolanus@4671, coriolanus@1408, coriolanus@612, coriolanus@300, coriolanus@2910, coriolanus@2670, coriolanus@1924, coriolanus@192, coriolanus@2926, coriolanus@3816, coriolanus@2678, coriolanus@2719, coriolanus@4595, coriolanus@3744, coriolanus@4047, coriolanus@1745, coriolanus@3323, coriolanus@2632, coriolanus@2184, coriolanus@4924, coriolanus@2174, coriolanus@152, coriolanus@2816, coriolanus@1760, coriolanus@2177, coriolanus@3168, coriolanus@5637, coriolanus@5675, coriolanus@4844, kingrichardiii@340, kingrichardiii@4556, kingrichardiii@2372, kingrichardiii@2348, kingrichardiii@2092, kingrichardiii@233, kingrichardiii@3732, kingrichardiii@2588, kingrichardiii@4983, kingrichardiii@4823, kingrichardiii@3934, kingrichardiii@2346, kingrichardiii@4553, kingrichardiii@2957, kingrichardiii@1033, kinghenryviii@420, kinghenryviii@3780, kinghenryviii@4522, kinghenryviii@354, kinghenryviii@2850, kinghenryviii@3965, kinghenryviii@1564, kinghenryviii@2153, kinghenryviii@2853, kinghenryviii@2567, kinghenryviii@929, kinghenryviii@236, kinghenryviii@2324, kinghenryviii@4263, kinghenryviii@2117, kinghenryviii@3149, kinghenryviii@2525, kinghenryviii@2322, kinghenryviii@2925, kinghenryviii@240, kinghenryviii@4178, kinghenryviii@4526, kinghenryviii@2301, kinghenryviii@1783, kinghenryviii@4058, kinghenryviii@4652, kinghenryviii@2089, kinghenryviii@3429, kinghenryviii@2456, 2kinghenryiv@1508, 2kinghenryiv@4277, 2kinghenryiv@460, 2kinghenryiv@1475, 2kinghenryiv@267, 2kinghenryiv@1581, 2kinghenryiv@1062, 2kinghenryiv@1114, 2kinghenryiv@3785, 2kinghenryiv@259, 2kinghenryiv@2903, 2kinghenryiv@248, 2kinghenryiv@1323, 2kinghenryiv@2674, 2kinghenryiv@4167, comedyoferrors@2479, comedyoferrors@1963, comedyoferrors@1962, comedyoferrors@1804, comedyoferrors@2632, comedyoferrors@1422, othello@3700, othello@996, othello@3175, othello@3917, othello@796, othello@1895, othello@4519, othello@3366, othello@3229, othello@5263, othello@5403, othello@2211, othello@1469, othello@303, othello@991, othello@2122, othello@3369, merchantofvenice@3864, merchantofvenice@140, merchantofvenice@255, merchantofvenice@261, merchantofvenice@868, merchantofvenice@800, merchantofvenice@615, merchantofvenice@2268, merchantofvenice@1680, merchantofvenice@861, merchantofvenice@876, macbeth@621, macbeth@2200, macbeth@360, macbeth@986, macbeth@3584, macbeth@927, macbeth@2431, macbeth@2678, macbeth@1001, macbeth@2194, macbeth@1457, macbeth@1217, macbeth@1946, macbeth@3318, macbeth@3725, macbeth@3710, macbeth@3412, macbeth@574, 1kinghenryiv@3722, 1kinghenryiv@4116, 1kinghenryiv@152, 1kinghenryiv@1941, 1kinghenryiv@3732, 1kinghenryiv@2398, 1kinghenryiv@2852, 1kinghenryiv@1536, 1kinghenryiv@3518, 1kinghenryiv@926, 1kinghenryiv@1027, 1kinghenryiv@103, 1kinghenryiv@3365, 1kinghenryiv@603, 1kinghenryiv@4161, 1kinghenryiv@2571, winterstale@744, winterstale@2515, winterstale@2880, winterstale@2179, winterstale@2487, winterstale@914, winterstale@2177, winterstale@2577, winterstale@2741, winterstale@4153, winterstale@2174, winterstale@4082, winterstale@2623, winterstale@1965, winterstale@1734, winterstale@3575, winterstale@529, winterstale@2496, winterstale@2562, winterstale@1319, winterstale@3956, hamlet@888, hamlet@4640, hamlet@2497, hamlet@2531, hamlet@5872, hamlet@2087, hamlet@2028, hamlet@2702, hamlet@1568, hamlet@3810, hamlet@824, romeoandjuliet@2490, romeoandjuliet@4328, romeoandjuliet@2181, romeoandjuliet@462, romeoandjuliet@2489, romeoandjuliet@2465, romeoandjuliet@4565, romeoandjuliet@1262, romeoandjuliet@3107, glossary@2351, glossary@607, glossary@1049, glossary@2126, muchadoaboutnothing@2101, muchadoaboutnothing@3067, muchadoaboutnothing@640, muchadoaboutnothing@696, muchadoaboutnothing@251, muchadoaboutnothing@3825, muchadoaboutnothing@3064, muchadoaboutnothing@623, muchadoaboutnothing@2984, muchadoaboutnothing@933, muchadoaboutnothing@2893, muchadoaboutnothing@639, muchadoaboutnothing@2762, muchadoaboutnothing@2891, asyoulikeit@4108, asyoulikeit@2347, asyoulikeit@2335, asyoulikeit@920, asyoulikeit@1545, asyoulikeit@1303, asyoulikeit@206, asyoulikeit@1219, asyoulikeit@3246, 2kinghenryvi@1733, 2kinghenryvi@2942, 2kinghenryvi@1909, 2kinghenryvi@2186, 2kinghenryvi@555, 2kinghenryvi@4725, 2kinghenryvi@2944, 2kinghenryvi@629, 2kinghenryvi@4037, 3kinghenryvi@1677, 3kinghenryvi@3998, 3kinghenryvi@2445, 3kinghenryvi@1679, 3kinghenryvi@3347, 3kinghenryvi@418, 3kinghenryvi@4124, 3kinghenryvi@2445, 3kinghenryvi@3134, 3kinghenryvi@4593, 3kinghenryvi@3349, 3kinghenryvi@2450, 3kinghenryvi@2329, 3kinghenryvi@2408, 3kinghenryvi@3358, 3kinghenryvi@3356, 3kinghenryvi@3356, 3kinghenryvi@1882, allswellthatendswell@2428, allswellthatendswell@2821, allswellthatendswell@583, allswellthatendswell@200, allswellthatendswell@2383, allswellthatendswell@4033, allswellthatendswell@1119, allswellthatendswell@4293, allswellthatendswell@3294, allswellthatendswell@1933, allswellthatendswell@2566, allswellthatendswell@2422, allswellthatendswell@3713, allswellthatendswell@1854, troilusandcressida@4943, troilusandcressida@1703, troilusandcressida@2771, troilusandcressida@809, troilusandcressida@2905, troilusandcressida@3090, troilusandcressida@2719, troilusandcressida@4037, troilusandcressida@2909, troilusandcressida@610, troilusandcressida@3663, troilusandcressida@3869, troilusandcressida@3243, troilusandcressida@663, troilusandcressida@663, troilusandcressida@4855, loveslabourslost@2018, loveslabourslost@2816, loveslabourslost@3973, loveslabourslost@1221, loveslabourslost@4249, loveslabourslost@2603, loveslabourslost@4332, loveslabourslost@1330, loveslabourslost@4231, loveslabourslost@2178, loveslabourslost@1852, loveslabourslost@4332, loveslabourslost@2875, rapeoflucrece@1386, rapeoflucrece@1632, rapeoflucrece@1379, rapeoflucrece@658, rapeoflucrece@1388, rapeoflucrece@791, rapeoflucrece@425, twogentlemenofverona@1846, twogentlemenofverona@1786, twogentlemenofverona@2330, twogentlemenofverona@1615, twogentlemenofverona@3437, twogentlemenofverona@360, twogentlemenofverona@1244, kingjohn@2523, kingjohn@1009, kingjohn@2887, kingjohn@1147, kingjohn@3279, kingjohn@315, kingjohn@282, kingjohn@1795, kingjohn@875, kingjohn@3473, tamingoftheshrew@2713, tamingoftheshrew@2378, tamingoftheshrew@582, tamingoftheshrew@2348, tamingoftheshrew@1151, tamingoftheshrew@1499, tamingoftheshrew@815, tamingoftheshrew@2926, tamingoftheshrew@2700, tamingoftheshrew@3351, tamingoftheshrew@2630, tamingoftheshrew@3501, tamingoftheshrew@2722, tamingoftheshrew@2722, tamingoftheshrew@2728, loverscomplaint@184, twelfthnight@2602, twelfthnight@3092, twelfthnight@2727, twelfthnight@2271, twelfthnight@2260, twelfthnight@831, twelfthnight@2567, twelfthnight@537, twelfthnight@2605, twelfthnight@3405, twelfthnight@569, twelfthnight@976, twelfthnight@2163, twelfthnight@1371, twelfthnight@3235, twelfthnight@1415, sonnets@582, sonnets@852, sonnets@818, sonnets@131, sonnets@751, sonnets@273, juliuscaesar@2969, juliuscaesar@198, juliuscaesar@242, juliuscaesar@1637, juliuscaesar@1809, juliuscaesar@181, juliuscaesar@2947, juliuscaesar@1840, juliuscaesar@197, juliuscaesar@1096, juliuscaesar@1549, juliuscaesar@2737, juliuscaesar@1697, midsummersnightsdream@964, midsummersnightsdream@3048, midsummersnightsdream@2042, midsummersnightsdream@2018, midsummersnightsdream@2390, midsummersnightsdream@1933, midsummersnightsdream@199, midsummersnightsdream@739, midsummersnightsdream@1830, kingrichardii@3214, kingrichardii@711, kingrichardii@3216, kingrichardii@3218, kingrichardii@3219, kingrichardii@839, kingrichardii@2170, kingrichardii@996, kingrichardii@3035, kingrichardii@2463, kingrichardii@1760, kingrichardii@1947, kingrichardii@1468, kingrichardii@393, kingrichardii@1497, kingrichardii@3108, kingrichardii@3108, kingrichardii@1578, kingrichardii@1579, kingrichardii@1588, kingrichardii@820, kingrichardii@3179, kingrichardii@3181, kingrichardii@3420, kingrichardii@2398, kingrichardii@866, kingrichardii@710, tempest@1586, tempest@3177, tempest@116, tempest@1809, tempest@1590, tempest@890, tempest@1418, tempest@473, tempest@1419, tempest@1830, tempest@1629, antonyandcleopatra@2819, antonyandcleopatra@3133, antonyandcleopatra@785, antonyandcleopatra@4192, antonyandcleopatra@5282, antonyandcleopatra@5740, antonyandcleopatra@3333, antonyandcleopatra@2596, antonyandcleopatra@2296, antonyandcleopatra@1884, antonyandcleopatra@3016, antonyandcleopatra@5952, antonyandcleopatra@591, antonyandcleopatra@4050, antonyandcleopatra@3894, antonyandcleopatra@5795, antonyandcleopatra@589, antonyandcleopatra@1883, antonyandcleopatra@3375, antonyandcleopatra@2061, antonyandcleopatra@1093, antonyandcleopatra@5943, antonyandcleopatra@1139, antonyandcleopatra@3359, antonyandcleopatra@2628, antonyandcleopatra@3270, antonyandcleopatra@1629, antonyandcleopatra@5943, antonyandcleopatra@5543, antonyandcleopatra@2963, antonyandcleopatra@3268, timonofathens@820, timonofathens@3131, timonofathens@3574, timonofathens@1443, timonofathens@707, timonofathens@705, timonofathens@1980, periclesprinceoftyre@937, periclesprinceoftyre@214, periclesprinceoftyre@2902, periclesprinceoftyre@1183, periclesprinceoftyre@2901, periclesprinceoftyre@2632, periclesprinceoftyre@2905, periclesprinceoftyre@3845, periclesprinceoftyre@3591, periclesprinceoftyre@1092, periclesprinceoftyre@2253, periclesprinceoftyre@3035, periclesprinceoftyre@733, periclesprinceoftyre@3100, measureforemeasure@1061, measureforemeasure@153, measureforemeasure@2683, measureforemeasure@2678, measureforemeasure@1700, measureforemeasure@2297, measureforemeasure@2368, measureforemeasure@1721, measureforemeasure@2376, measureforemeasure@1422, measureforemeasure@3881, measureforemeasure@2246, measureforemeasure@3946, measureforemeasure@2398, measureforemeasure@4207, measureforemeasure@1595
waylaid	1kinghenryiv@433
waylay	twelfthnight@2679
ways	twelfthnight@1641, measureforemeasure@2338, measureforemeasure@2345, macbeth@2941, macbeth@2878, macbeth@1097, 1kinghenryvi@1103, 1kinghenryvi@1121, kinghenryv@540, kinghenryv@4398, kinghenryv@541, titusandronicus@521, venusandadonis@1088, venusandadonis@585, kinglear@1798, kinglear@4079, merrywivesofwindsor@1380, merrywivesofwindsor@1497, merrywivesofwindsor@527, merrywivesofwindsor@1386, merrywivesofwindsor@1544, merrywivesofwindsor@3108, merchantofvenice@3822, merchantofvenice@2620, merchantofvenice@3661, kinghenryviii@2098, kinghenryviii@3147, kinghenryviii@3003, kinghenryviii@4613, coriolanus@4285, coriolanus@2957, othello@1981, 2kinghenryiv@3935, 2kinghenryiv@3875, 2kinghenryiv@4547, troilusandcressida@2477, troilusandcressida@2477, allswellthatendswell@1014, allswellthatendswell@3716, allswellthatendswell@3718, allswellthatendswell@4398, allswellthatendswell@1010, asyoulikeit@3045, asyoulikeit@1159, asyoulikeit@3045, asyoulikeit@3499, asyoulikeit@592, hamlet@936, hamlet@2655, hamlet@2103, romeoandjuliet@2143, romeoandjuliet@3560, various@419, 1kinghenryiv@2279, 1kinghenryiv@1611, periclesprinceoftyre@3105, periclesprinceoftyre@2505, periclesprinceoftyre@3064, periclesprinceoftyre@3137, periclesprinceoftyre@2976, periclesprinceoftyre@3070, periclesprinceoftyre@2657, periclesprinceoftyre@3165, periclesprinceoftyre@1868, periclesprinceoftyre@3069, twogentlemenofverona@2834, loveslabourslost@4316, tamingoftheshrew@4143, tamingoftheshrew@4127, tamingoftheshrew@2428, tamingoftheshrew@3463, timonofathens@2570, midsummersnightsdream@2171, juliuscaesar@2055, antonyandcleopatra@5985, antonyandcleopatra@3918, kingrichardii@1575, kingrichardii@2136, tempest@1689, tempest@2382
wayward	romeoandjuliet@3705, macbeth@2240, venusandadonis@429, kingrichardiii@810, kingrichardiii@4385, comedyoferrors@1990, othello@2735, muchadoaboutnothing@741, kingrichardii@1132, twogentlemenofverona@386, rapeoflucrece@1323, periclesprinceoftyre@2779, periclesprinceoftyre@3378, loveslabourslost@1533
waywarder	asyoulikeit@3018
waywardness	kinglear@509
